==================================================
RESOLUTION STATISTICS
==================================================

REAL Category:
------------------------------
Total videos: 7000
  1920x864: 1 (0.1%)
  984x720: 1 (0.1%)
  1920x854: 1 (0.1%)
  1068x720: 1 (0.1%)
  852x480: 1 (0.1%)
  1920x1024: 1 (0.1%)
  3840x1446: 1 (0.1%)
  640x352: 1 (0.1%)
  288x640: 1 (0.1%)
  1444x1080: 1 (0.1%)
  1920x728: 1 (0.1%)
  3840x1500: 1 (0.1%)
  1350x1080: 1 (0.1%)

Kinetics-400:
--------------------
  1280x720: 367 (36.7%)
  480x360: 203 (20.3%)
  320x240: 70 (7.0%)
  640x360: 66 (6.6%)
  406x720: 56 (5.6%)
  568x320: 27 (2.7%)
  204x360: 23 (2.3%)
  202x360: 17 (1.7%)
  270x360: 15 (1.5%)
  540x360: 15 (1.5%)
  960x720: 15 (1.5%)
  192x144: 10 (1.0%)
  360x360: 9 (0.9%)
  450x360: 6 (0.6%)
  352x288: 6 (0.6%)
  176x144: 6 (0.6%)
  432x720: 5 (0.5%)
  480x272: 5 (0.5%)
  486x360: 5 (0.5%)
  480x320: 5 (0.5%)
  480x270: 5 (0.5%)
  640x358: 3 (0.3%)
  426x240: 3 (0.3%)
  400x226: 2 (0.2%)
  528x360: 2 (0.2%)
  640x352: 2 (0.2%)
  480x720: 2 (0.2%)
  352x240: 2 (0.2%)
  160x120: 2 (0.2%)
  400x300: 2 (0.2%)
  480x352: 2 (0.2%)
  492x360: 2 (0.2%)
  384x288: 2 (0.2%)
  600x360: 2 (0.2%)
  240x176: 2 (0.2%)
  1280x676: 1 (0.1%)
  200x352: 1 (0.1%)
  400x230: 1 (0.1%)
  480x288: 1 (0.1%)
  632x720: 1 (0.1%)
  384x240: 1 (0.1%)
  428x240: 1 (0.1%)
  352x316: 1 (0.1%)
  986x720: 1 (0.1%)
  600x338: 1 (0.1%)
  176x132: 1 (0.1%)
  640x350: 1 (0.1%)
  640x332: 1 (0.1%)
  1080x720: 1 (0.1%)
  490x360: 1 (0.1%)
  720x720: 1 (0.1%)
  422x360: 1 (0.1%)
  1252x720: 1 (0.1%)
  160x112: 1 (0.1%)
  240x320: 1 (0.1%)
  400x220: 1 (0.1%)
  352x262: 1 (0.1%)
  406x224: 1 (0.1%)
  200x360: 1 (0.1%)
  194x144: 1 (0.1%)
  480x264: 1 (0.1%)
  198x360: 1 (0.1%)
  400x224: 1 (0.1%)
  1276x720: 1 (0.1%)
  1262x720: 1 (0.1%)
  640x356: 1 (0.1%)
  448x252: 1 (0.1%)
  544x360: 1 (0.1%)
  320x180: 1 (0.1%)

LSVQ:
--------------------
  1280x720: 566 (56.6%)
  640x480: 152 (15.2%)
  640x360: 57 (5.7%)
  480x360: 36 (3.6%)
  404x720: 31 (3.1%)
  320x240: 24 (2.4%)
  540x360: 21 (2.1%)
  960x720: 13 (1.3%)
  654x360: 7 (0.7%)
  854x480: 6 (0.6%)
  1270x720: 6 (0.6%)
  720x1280: 5 (0.5%)
  432x720: 4 (0.4%)
  406x720: 4 (0.4%)
  490x360: 3 (0.3%)
  960x540: 3 (0.3%)
  720x480: 3 (0.3%)
  320x180: 3 (0.3%)
  1080x720: 3 (0.3%)
  640x352: 2 (0.2%)
  240x180: 2 (0.2%)
  322x240: 2 (0.2%)
  626x360: 2 (0.2%)
  542x360: 2 (0.2%)
  638x360: 2 (0.2%)
  360x480: 2 (0.2%)
  480x270: 2 (0.2%)
  800x592: 2 (0.2%)
  256x224: 1 (0.1%)
  568x320: 1 (0.1%)
  400x224: 1 (0.1%)
  480x480: 1 (0.1%)
  600x480: 1 (0.1%)
  426x240: 1 (0.1%)
  982x720: 1 (0.1%)
  538x360: 1 (0.1%)
  806x480: 1 (0.1%)
  268x480: 1 (0.1%)
  1152x720: 1 (0.1%)
  1062x720: 1 (0.1%)
  408x720: 1 (0.1%)
  208x156: 1 (0.1%)
  590x360: 1 (0.1%)
  160x144: 1 (0.1%)
  848x480: 1 (0.1%)
  1920x1080: 1 (0.1%)
  636x360: 1 (0.1%)
  472x360: 1 (0.1%)
  428x240: 1 (0.1%)
  886x720: 1 (0.1%)
  240x240: 1 (0.1%)
  262x360: 1 (0.1%)
  360x640: 1 (0.1%)
  634x360: 1 (0.1%)
  570x480: 1 (0.1%)
  392x288: 1 (0.1%)
  360x240: 1 (0.1%)
  646x360: 1 (0.1%)
  1276x720: 1 (0.1%)
  294x240: 1 (0.1%)
  640x576: 1 (0.1%)
  478x360: 1 (0.1%)
  474x360: 1 (0.1%)

LSVQ_1080p:
--------------------
  1920x1080: 865 (86.5%)
  1080x1920: 60 (6.0%)
  1280x960: 52 (5.2%)
  1280x852: 3 (0.3%)
  1440x1080: 3 (0.3%)
  1280x736: 2 (0.2%)
  1920x1088: 2 (0.2%)
  1080x1080: 2 (0.2%)
  1920x1056: 1 (0.1%)
  1920x770: 1 (0.1%)
  1906x1080: 1 (0.1%)
  1920x1072: 1 (0.1%)
  1280x800: 1 (0.1%)
  1920x1440: 1 (0.1%)
  1280x1280: 1 (0.1%)
  1920x2560: 1 (0.1%)
  2560x1440: 1 (0.1%)
  1280x724: 1 (0.1%)
  3840x2160: 1 (0.1%)

Lavie:
--------------------
  512x320: 1000 (100.0%)

MSR-VTT:
--------------------
  298x224: 1000 (100.0%)

ModelScope:
--------------------
  1280x720: 512 (73.1%)
  448x256: 188 (26.9%)

MoonValley:
--------------------
  1184x672: 626 (100.0%)

MorphStudio:
--------------------
  1024x576: 700 (100.0%)

RealVSR:
--------------------
  1920x1080: 676 (67.6%)
  1080x1920: 324 (32.4%)

Show_1:
--------------------
  576x320: 700 (100.0%)

Sora:
--------------------
  1920x1080: 22 (39.3%)
  1280x720: 21 (37.5%)
  1920x1088: 5 (8.9%)
  720x1280: 3 (5.4%)
  854x480: 2 (3.6%)
  720x720: 1 (1.8%)
  640x480: 1 (1.8%)
  512x512: 1 (1.8%)

VAE:
--------------------
  704x544: 10000 (100.0%)

WildScrape:
--------------------
  512x512: 210 (22.7%)
  512x896: 82 (8.9%)
  384x384: 81 (8.8%)
  512x256: 47 (5.1%)
  512x320: 44 (4.8%)
  704x256: 36 (3.9%)
  1048x1048: 36 (3.9%)
  256x256: 35 (3.8%)
  1280x720: 28 (3.0%)
  448x448: 23 (2.5%)
  768x448: 22 (2.4%)
  128x128: 21 (2.3%)
  1552x528: 17 (1.8%)
  854x480: 16 (1.7%)
  560x800: 15 (1.6%)
  672x384: 14 (1.5%)
  1033x130: 14 (1.5%)
  1024x576: 13 (1.4%)
  320x320: 13 (1.4%)
